date,sp500,nasdaq,vix,treasury_10y,dxy,gold,oil
2020-01-01,[2991.15119893],[8043.60713798],16.384972428690702,2.410760913222682,97.51798098816245,1768.6584470870737,62.699764918852885
2020-01-02,[2991.90178239],[8009.90678338],11.677724834794525,2.433265650972185,92.78405000975977,1791.936155343063,75.07370325598141
2020-01-03,[2983.16069733],[7969.12515533],17.39830350785007,2.3302591272351765,96.42993000101131,1742.3938716344492,68.11329318776451
2020-01-06,[2985.92574991],[7966.78896215],14.42127119901091,2.2380720912726204,92.5081154698858,1770.868990361218,67.17737243179035
2020-01-07,[2983.70399172],[7999.16082395],22.133857254372355,2.5538622270583575,94.10392803637987,1803.2842849417755,54.16815221690151
2020-01-08,[2979.49357005],[8007.25651884],17.893952965161183,2.4043617558190755,93.89724497485157,1822.641578445613,84.51215115270415
2020-01-09,[2990.97600429],[7999.83634758],23.28249722329373,2.659234081449183,93.15686938425726,1744.2099129344765,88.05073760245722
2020-01-10,[2983.08294852],[8041.96921725],29.90526364420088,2.6690377388790756,96.64100594601678,1792.1411725873013,70.85433902551299
2020-01-13,[2986.88273392],[8031.89375812],31.472507040554785,2.8746131290637926,94.32119715577184,1766.0218348049953,89.19762118197283
2020-01-14,[2982.06683638],[8007.25816963],24.367696930352366,2.836620792294538,97.50401501549148,1792.6039888638225,64.8837721946975
2020-01-15,[2982.47691803],[7947.7111469],20.455096159109967,2.86740380395954,93.65241512769039,1810.2431771590557,75.09770761671847
2020-01-16,[2993.52976613],[8018.02421185],33.8211667596361,2.473675776837595,95.62285425022714,1803.170932187045,51.6883732799469
2020-01-17,[2968.44838516],[8004.79736969],19.71971099754892,2.2814074595592824,95.19187235782317,1822.2459731603315,57.47109412847229
2020-01-20,[2990.05406979],[7930.19945148],23.496717242259336,2.81713481616324,95.56063701832778,1751.9868916442713,80.0312202506289
2020-01-21,[3007.55162576],[7983.75083214],24.046729341724117,2.6414908423254477,93.32895684026283,1762.2294581459676,63.41983953795185
2020-01-22,[3001.33299917],[8022.63165123],16.67136089836793,2.3274691798380465,93.13912639402905,1828.4369386284757,77.81215235121445
2020-01-23,[2993.92482309],[7967.3093265],20.417830898838353,2.013241930501053,92.4287251532729,1825.564866808976,90.66534112193875
2020-01-24,[2967.72094357],[8012.17331507],10.0,2.445081498648979,93.63133111297124,1813.9909071929005,73.87913746658754
2020-01-27,[3012.66430998],[7967.27040815],22.099276589352638,2.5678266036626347,94.67972586409805,1828.8117908667862,83.98833700066162
2020-01-28,[3003.38274108],[7958.50247192],25.802670631274136,2.4416245504116993,96.092193804299,1798.697462953264,53.72614561771728
2020-01-29,[2989.97563362],[8022.53311203],14.484034782520679,2.411319718813982,97.09777697844423,1826.720050565937,87.25707890107454
2020-01-30,[3000.01892987],[8015.68003523],21.000807055733386,1.9627859608867735,97.16617682517946,1797.8691302702425,70.36801296390881
2020-01-31,[3008.38384648],[8000.13242134],12.275270953875474,2.0362629105895964,94.66063218986085,1783.9055087386184,66.98229530626209
2020-02-03,[2984.9581268],[7980.66874274],15.467844187004273,2.323217364788235,94.44798651756372,1826.4290770823363,80.78812390591251
2020-02-04,[3020.54191002],[7997.11044103],17.059769729687492,2.08635564058037,95.65226835336297,1796.235747582439,70.89045963282427
2020-02-05,[3003.74707083],[8028.60455842],22.366894353362056,2.5935482248847066,93.25036284611443,1845.5708381410082,69.51746187454287
2020-02-06,[2998.55693706],[8011.6756332],16.160962779496824,2.7038576775296383,98.26429320722465,1782.7628704494668,70.66496702282309
2020-02-07,[2993.2090745],[8009.5169838],22.88178425341289,2.6336846389593007,96.5917793651177,1758.4161913322373,76.4620432943543
2020-02-10,[3002.91732021],[8051.12204557],18.873101851097086,3.04082339559052,97.30476879506611,1829.5574481618628,70.72563406943107
2020-02-11,[3024.1760212],[7977.68418221],23.42902338520347,3.075969800740649,94.37420851506364,1816.001143387859,60.39204272326021
2020-02-12,[3029.76979709],[7993.256712],19.546918723471652,2.32327782978602,94.21670203925076,1792.257405128392,74.465591762576
2020-02-13,[2997.45387673],[7945.01054657],22.615342315137315,3.0385465146063004,92.06066346602377,1812.2576612600208,98.9960947745079
2020-02-14,[2995.4473212],[8000.66866839],16.960377910077252,2.8543632976476285,96.82953812949819,1774.98815547129,72.7509877647979
2020-02-17,[2989.90659078],[7983.77639673],16.287576025642014,2.3644184337173706,93.6974242333906,1802.5606963684309,86.13731272185137
2020-02-18,[2990.05689888],[7981.21987974],22.32231699745929,2.3499939154206038,93.31251474045085,1806.633333439599,69.52249185417205
2020-02-19,[2994.51804973],[8023.62853205],18.118662535972966,2.8355746287306993,95.63256076869605,1755.9800825927034,73.7935748320785
2020-02-20,[2993.86153029],[7969.05324061],19.985929857631074,2.3525702085143716,99.40088579891798,1788.100561639576,72.28308658776368
